Date,Open,High,Low,Close,AdjClose,Volume
2023-11-29,20.656727,21.538052,20.582813,21.086414,21.086414,490900529
2023-11-30,21.088507,21.480314,20.869585,21.386862,21.386862,389076494
2023-12-01,21.387300,22.568714,21.153488,21.861374,21.861374,564612277
2023-12-02,21.861385,22.363955,21.785997,22.241074,22.241074,330816327
2023-12-03,22.241091,22.697901,21.649450,21.968658,21.968658,363213096
2023-12-04,21.967602,23.173193,21.309477,22.632719,22.632719,692986140
2023-12-05,22.637991,24.674280,21.865402,24.484774,24.484774,815582253
2023-12-06,24.482794,27.555567,24.482794,26.217491,26.217491,1460209508
2023-12-07,26.225248,27.769909,25.826593,26.303724,26.303724,1020594712
2023-12-08,26.303242,30.702887,26.108566,30.636808,30.636808,1198193714
2023-12-09,30.627625,34.118729,30.503620,31.817724,31.817724,1781367115
2023-12-10,31.825392,37.742870,31.649328,37.075027,37.075027,1655716991
2023-12-11,37.080139,39.296879,33.716908,38.139904,38.139904,3273088459
2023-12-12,38.136105,42.754955,36.086765,37.430912,37.430912,2639559669
2023-12-13,37.432926,41.279774,34.278244,39.053768,39.053768,2490212384
2023-12-14,39.045361,40.280842,37.602234,39.305656,39.305656,1571510677
2023-12-15,39.302334,42.023628,38.641991,39.812111,39.812111,1987675065
2023-12-16,39.801601,45.204250,38.727013,42.081905,42.081905,2062984465
2023-12-17,42.088547,43.868504,40.440128,40.662323,40.662323,1267591263
2023-12-18,40.651730,41.286274,36.736103,41.061203,41.061203,1569013140
2023-12-19,41.059910,41.949413,38.855556,39.821335,39.821335,1162110260
2023-12-20,39.811203,44.434910,39.248096,43.426338,43.426338,1501900736
2023-12-21,43.426086,46.816570,43.154888,45.961643,45.961643,1804875169
2023-12-22,45.960602,48.718243,43.869411,45.443394,45.443394,1716677537
2023-12-23,45.441814,48.173355,43.663906,48.067059,48.067059,1256731782
2023-12-24,48.056629,49.655693,46.607616,47.711239,47.711239,1711488144
2023-12-25,47.715839,48.819450,46.115131,48.345203,48.345203,1173301947
2023-12-26,48.329895,48.329895,42.776367,44.426029,44.426029,1272282582
2023-12-27,44.426544,44.862984,42.042496,42.410416,42.410416,1041221252
2023-12-28,42.417149,43.315933,39.355064,39.906868,39.906868,1132807530
2023-12-29,39.906662,42.102848,38.810352,40.211086,40.211086,1101215880
2023-12-30,40.209877,40.328022,38.296719,39.394848,39.394848,594951004
2023-12-31,39.390301,40.463135,38.269054,38.544910,38.544910,578258573
2024-01-01,38.558670,41.980568,38.171398,41.864464,41.864464,671490413
2024-01-02,41.869736,43.391705,40.468700,40.645210,40.645210,869881311
2024-01-03,40.645931,41.404716,34.124481,36.795277,36.795277,1364836993
2024-01-04,36.795128,39.355289,36.302177,38.737835,38.737835,837720647
2024-01-05,38.737286,38.902203,35.238312,36.434849,36.434849,806375166
2024-01-06,36.434498,36.465050,33.641594,34.624180,34.624180,588059111
2024-01-07,34.629585,35.713013,33.283348,33.629654,33.629654,626766433
2024-01-08,33.630810,36.368477,31.480797,36.082607,36.082607,1051954159
2024-01-09,36.086197,37.541580,33.865211,34.695011,34.695011,964444462
2024-01-10,34.689190,39.454739,33.536705,38.472389,38.472389,1016992295
2024-01-11,38.478947,41.629604,37.640549,39.445778,39.445778,1199348855
2024-01-12,39.409843,39.517178,35.044781,35.871696,35.871696,838949726
2024-01-13,35.868183,36.595547,34.867168,36.450840,36.450840,508938996
2024-01-14,36.450199,37.789639,35.336514,35.337997,35.337997,612422802
2024-01-15,35.331257,36.737553,35.228878,35.664288,35.664288,467302331
2024-01-16,35.653194,36.498112,34.857876,35.590725,35.590725,480326505
2024-01-17,35.584621,36.434715,35.337574,36.006577,36.006577,542915389
2024-01-18,36.010311,36.077682,32.921535,33.528152,33.528152,565920717
2024-01-19,33.530499,33.689838,31.310749,32.643002,32.643002,541126328
2024-01-20,32.645515,32.924152,32.049046,32.808426,32.808426,335959594
2024-01-21,32.813831,33.433804,32.473045,32.473045,32.473045,323246888
2024-01-22,32.485813,32.656776,29.425447,29.483093,29.483093,625350714
2024-01-23,29.482973,30.599285,27.378292,30.591784,30.591784,785003146
2024-01-24,30.599209,31.859467,29.510069,31.217867,31.217867,644903093
2024-01-25,31.216732,31.326822,29.657167,30.480639,30.480639,421239728
2024-01-26,30.483513,33.016544,30.164410,32.279819,32.279819,539176077
2024-01-27,32.276146,33.264904,31.912989,33.261963,33.261963,336041590
2024-01-28,33.267315,36.629364,33.266850,34.793774,34.793774,966178090
2024-01-29,34.799458,36.465786,34.414207,36.073769,36.073769,693709649
2024-01-30,36.073769,37.099644,35.086819,35.144779,35.144779,681955940
2024-01-31,35.155422,35.467705,33.139904,33.161900,33.161900,581078929
2024-02-01,33.162876,33.903435,32.340729,33.828541,33.828541,476844022
2024-02-02,33.829781,36.847214,33.822620,36.707916,36.707916,721421678
2024-02-03,36.712059,37.528160,35.445927,35.916401,35.916401,463062303
2024-02-04,35.922218,36.494102,34.838230,34.844994,34.844994,374440909
2024-02-05,34.844666,35.849083,34.157627,34.500774,34.500774,430466400
2024-02-06,34.499771,34.682735,33.805332,34.141468,34.141468,371504176
2024-02-07,34.140873,35.473667,33.742950,35.279247,35.279247,434703122
2024-02-08,35.279213,36.101425,35.124413,35.427765,35.427765,465036665
2024-02-09,35.427826,38.553299,35.421940,38.010960,38.010960,734324526
2024-02-10,38.009079,41.099518,38.009079,40.288319,40.288319,716869745
2024-02-11,40.273403,41.152599,39.440872,39.732269,39.732269,506846339
2024-02-12,39.731636,41.088188,38.450008,41.088188,41.088188,790355103
2024-02-13,41.080971,41.637444,38.920753,39.765350,39.765350,707780905
2024-02-14,39.764519,42.412579,39.194611,42.268391,42.268391,792191831
2024-02-15,42.267059,43.491730,41.054230,41.596004,41.596004,822570663
2024-02-16,41.594097,41.795868,39.711678,40.312130,40.312130,569724888
2024-02-17,40.310043,40.430752,38.509720,39.762489,39.762489,449295833
2024-02-18,39.763596,40.724167,39.065899,40.254662,40.254662,426847219
2024-02-19,40.255306,40.594807,39.239147,39.482235,39.482235,583708516
2024-02-20,39.483707,39.664452,37.064224,38.527405,38.527405,665731631
2024-02-21,38.525654,38.533951,36.015568,37.635437,37.635437,522409643
2024-02-22,37.633465,38.165104,36.581364,36.750725,36.750725,457923442
2024-02-23,36.746185,36.906635,35.261532,35.926319,35.926319,474695416
2024-02-24,35.925934,36.926849,35.235729,36.738045,36.738045,348541912
2024-02-25,36.739048,37.464752,36.517029,37.449970,37.449970,348630081
2024-02-26,37.453468,39.346603,36.348480,39.336189,39.336189,556405127
2024-02-27,39.335884,39.935322,38.539135,39.268646,39.268646,507254829
2024-02-28,39.267742,41.207188,37.503448,40.294788,40.294788,978077517
2024-02-29,40.299488,44.591949,39.766003,40.935387,40.935387,1053380461
2024-03-01,40.925442,43.288876,40.925442,42.855328,42.855328,649269967
2024-03-02,42.848755,44.517086,42.137711,44.333908,44.333908,696365708
2024-03-03,44.364845,44.888611,41.513603,42.604858,42.604858,618511855
2024-03-04,42.607784,43.962749,41.558117,43.088238,43.088238,832140642
2024-03-05,43.090687,44.857182,35.190689,39.500137,39.500137,1599003513
2024-03-06,39.500854,42.131126,37.996655,41.514336,41.514336,750303597
2024-03-07,41.514336,44.496765,41.512917,43.290005,43.290005,881639513
2024-03-08,43.291130,43.980728,41.276012,42.740364,42.740364,693557709
2024-03-09,42.740364,43.590534,42.493439,43.000336,43.000336,430944940
